reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
r001,UserA,App crashes every time I try to place an intraday order. Very frustrating experience.,1,12,4.5.0,2026-01-25 10:30:00,,
r002,UserB,Love the clean UI and easy navigation. Best trading app I have used so far.,5,8,4.5.0,2026-01-26 14:15:00,,
r003,UserC,Withdrawal takes 3-4 days which is too slow. Please fix the settlement process.,2,15,4.5.0,2026-01-27 09:00:00,,
r004,UserD,Mutual fund SIP setup is super easy. Great experience investing monthly.,5,5,4.5.0,2026-01-28 11:45:00,,
r005,UserE,Customer support took 45 minutes to respond on call. Terrible service when you need help urgently.,1,20,4.5.0,2026-01-29 16:20:00,,
r006,UserF,Charts are very basic compared to TradingView. Need better charting tools for F&O trading.,3,10,4.5.0,2026-01-30 08:10:00,,
r007,UserG,The app is very smooth on my phone. No lag at all even during market hours.,5,3,4.5.1,2026-01-31 12:00:00,,
r008,UserH,I lost money because the app froze during a volatile session. Unacceptable for a trading platform.,1,25,4.5.1,2026-02-01 09:30:00,,
r009,UserI,IPO application process is seamless. Applied for 3 IPOs without any issues.,5,7,4.5.1,2026-02-02 15:00:00,,
r010,UserJ,Exit load information is not clearly shown before redeeming mutual funds. Needs improvement.,2,11,4.5.1,2026-02-03 10:45:00,,
r011,UserK,Love the portfolio analysis feature. XIRR and dividend tracking are very helpful.,5,9,4.5.1,2026-02-04 13:30:00,,
r012,UserL,App keeps logging me out randomly. Have to re-enter PIN every few minutes.,2,14,4.5.1,2026-02-05 08:00:00,,
r013,UserM,Gold investment option is a nice addition. Easy to buy and track digital gold.,4,6,4.5.1,2026-02-06 17:00:00,,
r014,UserN,The option chain loads very slowly. By the time it loads the price has already moved.,2,18,4.5.1,2026-02-07 09:15:00,,
r015,UserO,Groww has made investing so simple for beginners. I recommend it to all my friends.,5,4,4.5.2,2026-02-08 11:00:00,,
r016,UserP,Cannot set trailing stop loss. This is a basic feature that every trading app should have.,2,13,4.5.2,2026-02-09 14:30:00,,
r017,UserQ,SIP calculator is very useful for planning long term investments. Good feature.,4,3,4.5.2,2026-02-10 10:00:00,,
r018,UserR,App crashed during market opening and I could not exit my overnight positions.,1,22,4.5.2,2026-02-11 09:20:00,,
r019,UserS,Commodity trading was added recently and it works well. Traded crude oil without issues.,4,5,4.5.2,2026-02-12 16:00:00,,
r020,UserT,Customer support chat bot is useless. It cannot understand simple queries.,1,17,4.5.2,2026-02-13 12:30:00,,
